species	family	phylum	kingdom	source	ncbi_taxon_id	proposed_sequencing_centre	target_list_status	sequencing_status	goat_stimated_genome_size_(gb)	phase	notes	comments	project	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published
Cladocora caespitosa	Cladoceridae	Arthropoda	Metazoa	SloveniaHSp	130055	SCILIFE	other_priority	sample_acquired	0,866	1A			SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP	SLOVENIA-HSP							
Austropotamobius torrentium	Astacidae	Arthropoda	Metazoa	SloveniaHSp	94942	SCILIFE	other_priority	sample_acquired	4,36	1A			SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP	SLOVENIA-HSP							
Astagobius angustatus	Leiodidae	Arthropoda	Metazoa	SloveniaHSp	1457099	SCILIFE	other_priority	sample_acquired	0,802	1A			SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP	SLOVENIA-HSP							
Rupicapra rupicapra	Bovidae	Chordata	Metazoa	SloveniaHSp	130898	CNAG	other_priority	sample_acquired	3,2	1A			SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP	SLOVENIA-HSP							
Apodemus agrarius	Muridae	Chordata	Metazoa	SloveniaHSp	39030	CNAG	other_priority	sample_acquired	3,04	1A			SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP	SLOVENIA-HSP							
Primula carniolica	Primulaceae	Streptophyta	Viridiplantae	SloveniaHSp	184180	UNIFI	other_priority	sample_acquired	1,58	1B			SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP	SLOVENIA-HSP							
Sempervivum juvanii (in GoAT: Sempervivum wulfenii subsp. Juvanii)	Crassulaceae	Streptophyta	Viridiplantae	SloveniaHSp	1538746	UNIFI	other_priority	sample_acquired	0,687	1B			SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP	SLOVENIA-HSP							
Adelopsella bosnica	Leiodidae	Arthropoda	Metazoa	SloveniaHSp		UNIFI	other_priority	sample_acquired	0,802	1B	Not on NCBI		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP	SLOVENIA-HSP							
Graciliella metohijensis	Leiodidae	Arthropoda	Metazoa	SloveniaHSp	1849259	UNIFI	other_priority	sample_acquired	0,802	1B			SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP	SLOVENIA-HSP							
Anthroherpon ganglbaueri	Leiodidae	Arthropoda	Metazoa	SloveniaHSp	1849190	UNIFI	other_priority	sample_acquired	0,802	1B			SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP	SLOVENIA-HSP							
Leonhardella angulicollis	Leiodidae	Arthropoda	Metazoa	SloveniaHSp		UNIFI	other_priority	sample_acquired	0,802	1B	Not on NCBI		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP	SLOVENIA-HSP							
Bathyscidius tristiculus	Leiodidae	Arthropoda	Metazoa	SloveniaHSp		UNIFI	other_priority	sample_acquired	0,802	1B	Not on NCBI		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP	SLOVENIA-HSP							
Martes foina	Mustelidae	Chordata	Metazoa	SloveniaHSp	9659	SANGER	other_priority	sample_collected	2,88	TBD	In contact with: VGP and they agreed with BGE sequencing it		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP								
Umbra krameri 	Actinopterygii	Chordata	Metazoa	SloveniaHSp	75933	tbd	other_priority	sample_collected	2,430	TBD	Was on list for CNAG, then we do not have time to collect in decembre after we need to make change with Stryx species.		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP								
Alectoris graeca	Phasianidae	Chordata	Metazoa	SloveniaHSp	40178	tbd	other_priority		1,25	TBD	In contact with: B10K, DTOL, VGP , got reponse from all of them and they all agreed with it	B10K answered, they can cover short read.	SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Cephenemyia stimulator	Oestridae	Arthropoda	Metazoa	SloveniaHSp	170895	tbd	other_priority		0,691	TBD			SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Lithobius validus	Lithobiidae	Arthropoda	Metazoa	SloveniaHSp	2750063	tbd	other_priority		1,99	TBD			SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Octodriloides kamnensis	Lumbricidae	Annelida	Metazoa	SloveniaHSp		tbd	other_priority		0,724	TBD	Not on NCBI		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Karpatodinariona altimontana	Lumbricidae	Annelida	Metazoa	SloveniaHSp		tbd	other_priority		0,724	TBD	Not on NCBI		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Eupolybothrus grossipes	Lithobiidae	Arthropoda	Metazoa	SloveniaHSp	171369	tbd	other_priority		1,99	TBD			SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
