taxon_id	input	rank	suggested
670359	Apus melba	species	Tachymarptis melba
425645	Calidris falcinellus	species	Limicola falcinellus
8849	Chen caerulescens	species	Anser caerulescens
126714	Chroicocephalus philadelphia	species	Larus philadelphia
1977160	Grus canadensis	species	Antigone canadensis
1109735	Hippolais opaca	species	Iduna opaca
68478	Iduna aedon	species	Arundinax aedon
126679	Larus atricilla	species	Leucophaeus atricilla
37051	Puffinus gravis	species	Ardenna gravis
37052	Puffinus griseus	species	Ardenna grisea
555356	Sterna maxima	species	Thalasseus maximus
216227	Sylvia conspicillata	species	Curruca conspicillata
121426	Sylvia melanocephala	species	Curruca melanocephala
140012	Amblystegium confervoides	species	Platydictya confervoides
622457	Amblystegium radicale	species	Pseudocampylium radicale
200801	Bryum algovicum	species	Plagiobryum algovicum
66991	Bryum alpinum	species	Imbribryum alpinum
576376	Bryum apiculatum	species	Gemmabryum apiculatum
200803	Bryum archangelicum	species	Ptychostomum archangelicum
576377	Bryum arcticum	species	Ptychostomum arcticum
388895	Bryum bornholmense	species	Rosulabryum bornholmense
66992	Bryum caespiticium	species	Gemmabryum caespiticium
99387	Bryum capillare	species	Rosulabryum capillare
200806	Bryum cyclophyllum	species	Ptychostomum cyclophyllum
576378	Bryum dichotomum	species	Gemmabryum dichotomum
66993	Bryum donianum	species	Plagiobryum donianum
981514	Bryum elegans	species	Rosulabryum elegans
187836	Bryum funckii	species	Ptychostomum funkii
388898	Bryum gemmilucens	species	Gemmabryum gemmilucens
216088	Bryum gemmiferum	species	Gemmabryum gemmiferum
187837	Bryum gemmiparum	species	Imbribryum gemmiparum
420775	Bryum klinggraeffii	species	Gemmabryum klinggraeffii
563845	Bryum mildeanum	species	Imbribryum mildeanum
187838	Bryum muehlenbeckii	species	Imbribryum muehlenbeckii
187839	Bryum pallescens	species	Ptychostomum pallescens
200810	Bryum pallens	species	Ptychostomum pallens
187840	Bryum purpurascens	species	Plagiobryum purpurascens
190272	Bryum radiculosum	species	Gemmabryum radiculosum
187841	Bryum rubens	species	Rosulabryum rubens
190271	Bryum ruderale	species	Gemmabryum ruderale
388900	Bryum subapiculatum	species	Gemmabryum subapiculatum
200812	Bryum uliginosum	species	Plagiobryum uliginosum
388903	Bryum violaceum	species	Gemmabryum violaceum
98485	Dicranoweisia crispula	species	Hymenoloma crispulum
98330	Dicranum montanum	species	Orthodicranum montanum
98466	Ditrichum flexicaule	species	Flexitrichum flexicaule
184650	Homalothecium lutescens	species	Camptothecium lutescens
111435	Hygroamblystegium tenax	species	Amblystegium tenax
111436	Hygroamblystegium varium	species	Amblystegium varium
304431	Hypnum bambergeri	species	Campylium bambergeri
455281	Hypnum callichroum	species	Stereodon callichrous
1161994	Hypnum hamulosum	species	Stereodon hamulosus
49762	Hypnum imponens	species	Callicladium imponens
304434	Hypnum revolutum	species	Roaldia revoluta
304435	Hypnum vaucheri	species	Buckia vaucheri
200727	Leptophascum leptophyllum	species	Chenia leptophylla
172818	Neckera complanata	species	Alleniella complanata
103981	Neckera crispa	species	Exsertotheca crispa
1172132	Orthotrichum acuminatum	species	Lewinskya acuminata
279758	Orthotrichum affine	species	Lewinskya affinis
478074	Orthotrichum rupestre	species	Lewinskya rupestris
2606045	Orthotrichum shawii	species	Lewinskya shawii
70136	Orthotrichum speciosum	species	Lewinskya speciosa
796705	Oxystegus daldinianus	species	Chionoloma daldinianum
766950	Oxystegus hibernicus	species	Chionoloma hibernicum
796706	Oxystegus minor	species	Chionoloma minus
129936	Oxyrrhynchium pumilum	species	Microeurhynchium pumilum
301336	Oxystegus tenuirostris	species	Chionoloma tenuirostre
69983	Palustriella commutata	species	Palustriella falcata
200732	Phascum cuspidatum	species	Tortula acaulon
1293630	Philonotis arnellii	species	Philonotis capillaris
53003	Plagiothecium undulatum	species	Buckiella undulata
187846	Plagiobryum zierii	species	Ptychostomum zieri
41836	Polytrichastrum formosum	species	Polytrichum formosum
201560	Polytrichastrum longisetum	species	Polytrichum longisetum
208781	Pseudoleskeella nervosa	species	Leskeella nervosa
140396	Pseudocalliergon trifarium	species	Drepanocladus trifarius
140397	Pseudocalliergon turgescens	species	Drepanocladus turgescens
65537	Pterogonium gracile	species	Nogopterium gracile
296905	Racomitrium aciculare	species	Codriophorus aciculare
483358	Racomitrium aquaticum	species	Codriophorus aquaticus
95767	Racomitrium canescens	species	Niphotrichum canescens
71396	Racomitrium elongatum	species	Niphotrichum elongatum
657341	Racomitrium ericoides	species	Niphotrichum ericoides
129286	Racomitrium fasciculare	species	Dilutineuron fasciculare
981374	Racomitrium himalayanum	species	Bucklandiella himalayana
70138	Racomitrium microcarpum	species	Bucklandiella microcarpa
981376	Racomitrium sudeticum	species	Bucklandiella sudetica
28469	Rhytidiadelphus triquetrus	species	Hylocomiadelphus triquetrus
2016186	Seligeria campylopoda	species	Blindiadelphus campylopodus
1933240	Seligeria diversifolia	species	Blindiadelphus diversifolius
1933241	Seligeria recurvata	species	Blindiadelphus recurvatus
200738	Tortula lanceola	species	Pottia lanceolata
1230425	Cephalozia leucantha	species	Fuscocephaloziopsis leucantha
1230439	Cladopodiella francisci	species	Odontoschisma francisci
537827	Jamesoniella undulifolia	species	Biantheridion undulifolium
537828	Leiocolea badensis	species	Mesoptychia badensis
248330	Lophozia bicrenata	species	Isopaches bicrenatus
248334	Lophozia incisa	species	Schistochilopsis incisa
248338	Lophozia obtusa	species	Obtusifolium obtusum
402129	Lophozia perssonii	species	Oleolophozia perssonii
209802	Lophozia sudetica	species	Pseudolophozia sudetica
746487	Solenostoma caespiticium	species	Endogemma caespiticia
1484041	Telaranea murphyae	species	Tricholepidozia murphyae
209811	Tritomaria polita	species	Saccobasis polita
122615	Athalamia hyalina	species	Clevea hyalina
556906	Aster dumosus	species	Symphyotrichum dumosum
1155252	Aster linosyris	species	Galatella linosyris
422353	Brachyglottis laxifolia	species	Senecio latifolius
145497	Centaurea attica	species	Centaurea graeca
75630	Centaurea bruguieriana	species	Centaurea brugueriana
145515	Centaurea centauroides	species	Centaurea salonitana
92921	Centaurea dalmatica	species	Silybum marianum
191239	Chrysocoma tenuifolia	species	Chrysocoma ciliata
4075	Datura innoxia	species	Datura inoxia
415160	Emilia javanica	species	Emilia sonchifolia
125729	Filago gallica	species	Logfia gallica
702255	Filago minima	species	Logfia minima
92911	Galactites tomentosa	species	Galactites tomentosus
49941	Gentianella ciliata	species	Gentianopsis ciliata
59425	Gnaphalium luteoalbum	species	Pseudognaphalium luteoalbum
269350	Hieracium vulgatum	species	Hieracium lachenalii
119177	Inula conyzae	species	Inula conyza
119182	Inula crithmoides	species	Limbarda crithmoides
53161	Lamiastrum galeobdolon	species	Lamium galeobdolon
53164	Lamium hybridum	species	Lamium purpureum
212686	Leontodon autumnalis	species	Scorzoneroides autumnalis
694349	Leonurus marrubiastrum	species	Chaiturus marrubiastrum
225022	Limosella capensis	species	Limosella grandiflora
543575	Lithospermum purpureocaeruleum	species	Lithospermum purpurocaeruleum
197966	Lobelia gracilis	species	Scaevola gracilis
2067007	Matricaria decipiens	species	Tripleurospermum decipiens
98504	Matricaria recutita	species	Matricaria chamomilla
188299	Mimulus cardinalis	species	Erythranthe cardinalis
75960	Mycelis muralis	species	Cicerbita muralis
199263	Olearia nummularifolia	species	Olearia nummulariifolia
1721064	Oncosiphon piluliferum	species	Oncosiphon piluliferus
223125	Orobanche purpurea	species	Phelipanche purpurea
46056	Parentucellia viscosa	species	Bellardia viscosa
174463	Picris echioides	species	Helminthotheca echioides
9786	Proboscidea louisianica	species	Proboscidea louisiana
183564	Scabiosa caucasica	species	Lomelosia caucasica
105906	Scabiosa prolifera	species	Succisa pratensis
189230	Senecio aquaticus	species	Jacobaea aquatica
189238	Senecio erucifolius	species	Jacobaea erucifolia
98722	Senecio jacobaea	species	Jacobaea vulgaris
189244	Senecio paludosus	species	Jacobaea paludosa
669130	Seriphidium maritimum	species	Artemisia maritima
