Order	Family	Genus	Species	femalediploidnumber	malediploidnumber	Chromosome_number	haploidnumber	reproductivemode	sexchromosome	notes	citation	femalediploidnumber/malediploidnumber
Isoptera	Termitidae	Mastotermes	Mastotermes darwiniensis	98	98		49	gonochorous	XY	 multivalent absent	Bedo DG (1987) undifferentiated sex chromosomes in Mastotermes darwiniensis Froggatt (Isoptera; Mastotermitidae) and the evolution of eusociality in termites. Genome 29: 76-79.	98/98
Blattodea	Polyphagidae	Cryptocercus	Cryptocercus primarius	20	19		10	gonochorous	XO	 multivalent absent order listed as Dictyoptera	Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	20/19
Blattodea	Polyphagidae	Cryptocercus	Cryptocercus relictus	18	17		9	gonochorous	XO	 multivalent absent order listed as Dictyoptera	Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	18/17
Isoptera	Kalotermitidae	Cryptotermes	Cryptotermes domesticus	30	29		15	gonochorous	XXY	X1X1X2X2/X1X2Y1	Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	30/29
Isoptera	Kalotermitidae	Cryptotermes	Cryptotermes domesticus	30	29		15	gonochorous	XXY	X1X1X2X2/X1X2Y1	Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	30/29
Isoptera	Kalotermitidae	Kalotermes	Kalotermes flavicollis	68	67		34	gonochorous	XXY	X1X1X2X2/X1X2Y1	Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	68/67
Isoptera	Rhinotermitidae	Coptotermes	Coptotermes acinaciformis	42	42		21	gonochorous	XXYY	X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males	Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	42/42
Isoptera	Rhinotermitidae	Reticulitermes	Reticulitermes urbis	42	42		21	gonochorous	homomorphic		Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	42/42
Isoptera	Termitidae	Amitermes	Amitermes darwini	42	42		21	gonochorous	XXYY	X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males	Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	42/42
Isoptera	Termitidae	Amitermes	Amitermes germanus	42	NA		21				Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	42/NA
Isoptera	Termitidae	Amitermes	Amitermes parvus	42	42		21	gonochorous	XXYY	X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males	Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	42/42
Isoptera	Termitidae	Drepanotermes	Drepanotermes septentrionalis	42	42		21	gonochorous	XXYY	X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males	Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	42/42
Isoptera	Termitidae	Ephelotermes	Ephelotermes melachoma	42	42		21	gonochorous	XXYY	X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males	Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	42/42
Isoptera	Termitidae	Ephelotermes	Ephelotermes taylori	42	42		21	gonochorous	XXYY	X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males	Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	42/42
Isoptera	Termitidae	Lophotermes	Lophotermes septentrionalis	42	42		21	gonochorous	XXYY	X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males	Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	42/42
Isoptera	Termitidae	Macrognathotermes	Macrognathotermes sunteri	42	42		21	gonochorous	XXYY	X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males	Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	42/42
Isoptera	Termitidae	Microcerotermes	Microcerotermes boreus	42	42		21	gonochorous	XXYY	X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males	Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	42/42
Isoptera	Termitidae	Microcerotermes	Microcerotermes nervosus	42	42		21	gonochorous	XXYY	X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males	Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	42/42
Isoptera	Termitidae	Nasutitermes	Nasutitermes graveolus	42	42		21	gonochorous	XXYY	X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males	Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	42/42
Isoptera	Termitidae	Nasutitermes	Nasutitermes longipennis	42	42		21	gonochorous	XXYY	X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males	Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	42/42
Isoptera	Termitidae	Nasutitermes	Nasutitermes triodiae	42	42		21	gonochorous	XXYY	X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males	Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	42/42
Isoptera	Termitidae	Tumulitermes	Tumulitermes pastinator	42	42		21	gonochorous	XXYY	X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males	Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	42/42
Phasmatodea	Phylliidae	Leptynia	Leptynia attenuata	36	35		18	gonochorous	XO		Bianchi AP, Meliado P (1998) Analysis of the karyotypes of four species of the Leptynia attenuata complex (Insecta Phasmatodea). Caryologia 51: 207-219.	36/35
Phasmatodea	Phylliidae	Leptynia	Leptynia attenuata	36	36		18	gonochorous	XY		Bianchi AP, Meliado P (1998) Analysis of the karyotypes of four species of the Leptynia attenuata complex (Insecta Phasmatodea). Caryologia 51: 207-219.	36/36
Phasmatodea	Phylliidae	Leptynia	Leptynia caprai	40	39		20	gonochorous	XO		Bianchi AP, Meliado P (1998) Analysis of the karyotypes of four species of the Leptynia attenuata complex (Insecta Phasmatodea). Caryologia 51: 207-219.	40/39
Phasmatodea	Phylliidae	Leptynia	Leptynia montana	38	37		19	gonochorous	XO		Bianchi AP, Meliado P (1998) Analysis of the karyotypes of four species of the Leptynia attenuata complex (Insecta Phasmatodea). Caryologia 51: 207-219.	38/37
Orthoptera	Acrididae	Baeacris	Baeacris punctulatus	22	22		11	gonochorous	XY		Castillo, E. R., Marti, D. A., & Bidau, C. J. (2010). Sex and neo-sex chromosomes in Orthoptera: a review.Journal of Orthoptera Research, 213-231.	22/22
Orthoptera	Acrididae	Dichromatos	Dichromatos lilloanus	22	21		11	gonochorous	XXY	X1X1X2X2/X1X2Y	Castillo, E. R., Marti, D. A., & Bidau, C. J. (2010). Sex and neo-sex chromosomes in Orthoptera: a review.Journal of Orthoptera Research, 213-231.	22/21
Orthoptera	Acrididae	Dichromatos	Dichromatos schrottkyi	22	21		11	gonochorous	XXY	X1X1X2X2/X1X2Y	Castillo, E. R., Marti, D. A., & Bidau, C. J. (2010). Sex and neo-sex chromosomes in Orthoptera: a review.Journal of Orthoptera Research, 213-231.	22/21
