taxon_id	input	rank
7726	Styela plicata	species
7740	Branchiostoma lanceolatum	species
8959	Aegypius monachus	species
27890	Dugesia subtentaculata	species
28930	Fagus sylvatica	species
33608	Neophron percnopterus	species
33610	Gypaetus barbatus	species
34765	Oikopleura dioica	species
48681	Puffinus mauretanicus	species
48815	Ramonda myconi	species
48915	Diplodus puntazzo	species
61904	Belisarius xambeui	species
64176	Podarcis muralis	species
74358	Podarcis lilfordi	species
89891	Derocheilocaris remanei	species
133233	Achillea ptarmica	species
142104	Corallium rubrum	species
172826	Amastigomonas sp.	species
242261	Coenonympha glycerion	species
246179	Vipera latastei	species
317549	Paramuricea clavata	species
342570	Calotriton arnoldi	species
390489	Dugastella valentina	species
595358	Cyclops abyssorum	species
627345	Emberiza schoeniclus witherbyi	subspecies
1504802	Cyperus esculentus var. sativus	varietas
2766786	Mediocremonas mediterraneus	species
2795559	Helleia helle	species
398063	Capra pyrenaica pyrenaica	subspecies
2890050	Xatardia scabra	species
2815560	Sensonator valentiensis	species
991102	Norana najaformis	species
593788	Ericaria mediterranea	species
203899	Tethysbaena scabra	species
178818	Iberolacerta aurelioi	species
13765	Xyrichtys novacula	species
163714	Cyprideis torosa	species
7640	Arbacia lixula	species
317548	Eunicella singularis	species
124278	Alcyonium acaule	species
353214	Caecitellus pseudoparvulus	species
353213	Caecitellus paraparvulus	species
89770	Paraphysomonas bandaiensis	species
37642	Paraphysomonas imperforata	species
130055	Cladocora caespitosa	species
1031547	Clathrina clathrus	species
27923	Mnemiopsis leidyi	species
2850456	Dendrodoris temarana	species
#qmHetOers	Heterotanais oerstedii	species
