taxon_id	input	rank
669229	Wirenia argentea	species
2996	Hydrurus foetidus	species
488418	Marifugia cavatica	species
1366552	Proasellus anophtalmus dalmatinus	subspecies
39455	Alexandrium minutum	species
2725171	Tritomurus scutellatus	species
3065877	Herpes porcellus	species
350094	Omalisus fontisbellaquei	species
3071065	Protonethes ocellatus	species
43341	Phorcus turbinatus	species
1233057	Alpioniscus balthasari	species
732111	Gammarus setosus	species
62148	Gluvia dorsalis	species
2934182	Phyllidia flava	species
1526741	Xylophaga dorsalis	species
317547	Eunicella cavolini	species
56557	Triaenophorus nodulosus	species
1917237	Distaplia bermudensis	species
335185	Cistus crispus	species
45971	Mytilopsis leucophaeata	species
928672	Pyrrhula murina	species
2890055	Androsace saussurei	species
436207	Arnica montana	species
63975	Graellsia isabellae	species
1046305	Ailoscolex lacteospumosus	species
2057147	Botrylloides israeliense	species
191414	Erebia palarica	species
47528	Anodonta cygnea	species
119148	Dysdera unguimmanis	species
549142	Trachusa byssina	species
457762	Alyssoides utriculata	species
3071549	Anisus vorticulus	species
130900	Rupicapra pyrenaica ornata	subspecies
1445830	Platypeza hirticeps	species
233204	Ulmus laevis	species
3078427	Hydroglyphus hamulatus	species
