taxon_id	input	rank	suggested
1932029	Eptatretus fernholmi	species	Eptatretus luzonicus
159854	Rubicundus rubicundus	species	Eptatretus rubicundus
1483406	Caspiomyzon graecus	species	Eudontomyzon graecus
682873	Caspiomyzon hellenicus	species	Eudontomyzon hellenicus
104632	Lampetra hubbsi	species	Entosphenus hubbsi
682877	Lampetra lanceolata	species	Eudontomyzon lanceolata
1616771	Lampetra ninae	species	Lethenteron ninae
31871	Lampetra zanandreai	species	Lethenteron zanandreai
682879	Lethenteron alaskense	species	Lampetra alaskensis
682883	Tetrapleurodon geminis	species	Lampetra geminis
239355	Phyllomedusa araguari	species	Pithecopus oreades
1598002	Platymantis batantae	species	Cornufer batantae
860368	Phyllomedusa ayeaye	species	Pithecopus ayeaye
2034991	Phyllomedusa azurea	species	Pithecopus azureus
2728969	Phyllodytes auratus	species	Phytotriades auratus
1598009	Platymantis cheesmanae	species	Cornufer cheesmanae
147891	Eurycea tridentifera	species	Eurycea latitans
536631	Phyllomedusa centralis	species	Pithecopus centralis
2614771	Odorrana arunachalensis	species	Nanorana arunachalensis
472303	Platymantis cryptotis	species	Cornufer cryptotis
1273188	Somuncuria somuncurensis	species	Pleurodema somuncurensis
58517	Platymantis guentheri	species	Cornufer guentheri
336083	Cyclorana alboguttata	species	Ranoidea alboguttata
317381	Phyllomedusa hypochondrialis	species	Pithecopus hypochondrialis
373079	Plectrohyla ameibothalame	species	Sarcohyla ameibothalame
317313	Cyclorana brevipes	species	Ranoidea brevipes
860373	Phyllomedusa megacephala	species	Pithecopus megacephalus
449223	Hypodactylus brunneus	species	Niceforonia brunnea
2018391	Plectrohyla arborescandens	species	Sarcohyla arborescandens
696022	Hypodactylus dolops	species	Niceforonia dolops
2034992	Phyllomedusa nordestina	species	Pithecopus nordestinus
448638	Hypodactylus elassodiscus	species	Niceforonia elassodiscus
2018392	Plectrohyla bistincta	species	Sarcohyla bistincta
239355	Phyllomedusa oreades	species	Pithecopus oreades
1920213	Sallywalkerana diplosticta	species	Walkerana diplosticta
318313	Plectrohyla calthula	species	Sarcohyla labeculata
681216	Cyclorana maculosa	species	Ranoidea maculosa
1920214	Sallywalkerana leptodactyla	species	Walkerana leptodactyla
1920215	Sallywalkerana phrynoderma	species	Walkerana phrynoderma
39603	Leptopelis broadleyi	species	Leptopelis argenteus
8394	Phyllomedusa rohdei	species	Pithecopus rohdei
2759704	Hypodactylus nigrovittatus	species	Niceforonia nigrovittata
448113	Odorrana heatwolei	species	Odorrana tiannanensis
449225	Hypodactylus peraccai	species	Niceforonia peraccai
681218	Cyclorana platycephala	species	Ranoidea platycephala
2336769	Plectrohyla chryses	species	Sarcohyla chryses
431936	Odorrana hmongorum	species	Odorrana jingdongensis
655868	Mertensophryne howelli	species	Stephopaedes howelli
655869	Mertensophryne loveridgei	species	Stephopaedes loveridgei
2018393	Plectrohyla cyclada	species	Sarcohyla cyclada
472305	Platymantis punctatus	species	Cornufer punctatus
2927596	Euphlyctis hexadactylus	species	Phrynoderma hexadactylum
8371	Litoria aurea	species	Ranoidea aurea
650640	Epicrionops niger	species	Rhinatrema nigrum
655870	Mertensophryne usambarae	species	Stephopaedes usambarae
2967234	Euphlyctis karaavali	species	Phrynoderma karaavali
2018390	Plectrohyla hazelae	species	Sarcohyla hazelae
1658244	Choerophryne exclamitans	species	Albericus exclamitans
611320	Hemiphractus panamensis	species	Hemiphractus fasciatus
472307	Platymantis wuenscheorum	species	Cornufer wuenscheorum
655848	Calyptocephalella gayi	species	Calyptocephallela gayi
480209	Choerophryne laurini	species	Albericus laurini
1711091	Plectrohyla mykter	species	Sarcohyla mykter
681224	Litoria booroolongensis	species	Ranoidea booroolongensis
448697	Pristimantis terraebolivaris	species	Pristimantis incertus
317340	Plectrohyla pentheter	species	Sarcohyla pentheter
1237552	Platypelis alticola	species	Cophyla alticola
2837600	Platypelis barbouri	species	Cophyla barbouri
526124	Centrolene antioquiense	species	Centrolene antioquiensis
30344	Litoria caerulea	species	Ranoidea caerulea
143634	Platypelis grandis	species	Cophyla grandis
1319981	Feihyla hansenae	species	Rohanixalus hansenae
294360	Batrachoseps aridus	species	Batrachoseps major
2773507	Feihyla vittata	species	Rohanixalus vittatus
86064	Litoria chloris	species	Ranoidea chloris
373087	Plectrohyla siopela	species	Sarcohyla siopela
43508	Leiopelma pakeka	species	Leiopelma hamiltoni
294374	Platypelis tuberifera	species	Cophyla tuberifera
94770	Litoria citropa	species	Ranoidea citropa
143541	Rhacophorus angulirostris	species	Leptomantis angulirostris
68419	Rhacophorus arboreus	species	Zhangixalus arboreus
164971	Paramesotriton guangxiensis	species	Paramesotriton guanxiensis
681237	Litoria cyclorhyncha	species	Ranoidea cyclorhynchus
2717392	Pristimantis lassoalcalai	species	Tachiramantis lassoalcalai
299727	Litoria dahlii	species	Ranoidea dahlii
1344009	Proceratophrys tupinambis	species	Proceratophrys tupinamba
95143	Litoria dayi	species	Nyctimystes dayi
526133	Centrolene peristictum	species	Centrolene peristicta
1888957	Megaelosia apuana	species	Phantasmarana apuana
1171367	Kurixalus ananjevae	species	Gracixalus ananjevae
1445676	Rhacophorus bimaculatus	species	Leptomantis bimaculatus
2491332	Anotheca spinosa	species	Triprion spinosus
1551492	Megaelosia boticariana	species	Phantasmarana boticariana
1903083	Aparasphenodon arapapa	species	Nyctimantis arapapa
2799745	Litoria dux	species	Nyctimystes dux
2728944	Aparasphenodon bokermanni	species	Nyctimantis bokermanni
2036801	Megaelosia jordanensis	species	Phantasmarana jordanensis
318254	Aparasphenodon brunoi	species	Nyctimantis brunoi
2838216	Megaelosia lutzae	species	Phantasmarana lutzae
2731439	Megaelosia massarti	species	Phantasmarana massarti
2728942	Aparasphenodon venezolanus	species	Trachycephalus venezolanus
95130	Litoria eucnemis	species	Ranoidea eucnemis
95131	Litoria exophthalmia	species	Ranoidea exophthalmia
462329	Rhacophorus duboisi	species	Zhangixalus duboisi
462321	Rhacophorus dugritei	species	Zhangixalus dugritei
143445	Rhacophorus dulitensis	species	Zhangixalus dulitensis
1415581	Potamotyphlus kaupii	species	Potomotyphlus kaupii
95132	Litoria genimaculata	species	Ranoidea genimaculata
346453	Pelophryne macrotis	species	Ingerophrynus macrotis
2491338	Ptychohyla panchoi	species	Atlantihyla panchoi
39405	Litoria gilleni	species	Ranoidea gilleni
317391	Ptychohyla salvadorensis	species	Duellmanohyla salvadorensis
95133	Litoria gracilenta	species	Ranoidea gracilenta
663277	Megophrys montana	species	Megophrys monticola
462322	Rhacophorus feae	species	Zhangixalus feae
689408	Phrynobatrachus accraensis	species	Phrynobatrachus latifrons
45623	Pelophylax esculentus	species	Pelophylax lessonae
2491339	Ptychohyla spinipollex	species	Atlantihyla spinipollex
248869	Eupemphix nattereri	species	Physalaemus nattereri
2591400	Tomopterna damarensis	species	Tomopterna ahli
143542	Rhacophorus gauni	species	Leptomantis gauni
1510417	Limnonectes laticeps	species	Limnonectes khasianus
318263	Argenteohyla siemersi	species	Nyctimantis siemersi
231021	Cochranella ocellifera	species	Espadarana prosoblepon
312088	Litoria impura	species	Ranoidea impura
283217	Ophryophryne microstoma	species	Megophrys microstoma
689408	Phrynobatrachus albolabris	species	Phrynobatrachus latifrons
110111	Pelophylax lateralis	species	Humerana lateralis
2491341	Ecnomiohyla miotympanum	species	Rheohyla miotympanum
61195	Litoria infrafrenata	species	Nyctimystes infrafrenatus
