taxon_id	input	rank
213030	Absidia cylindrospora	species
4829	Absidia glauca	species
9852	Alces alces	species
2926	Alexandrium tamarense	species
3516	Alnus incana	species
134639	Amara alpina	species
315322	Amblyraja hyperborea	species
82379	Amphiura chiajei	species
29923	Amylomyces rouxii	species
1425294	Anelasma squalicola	species
84120	Anoplodium stichopi	species
473950	Anthidium manicatum	species
45985	Arianta arbustorum	species
454130	Aspergillus calidoustus	species
147940	Asplenium viride	species
6715	Astacus astacus	species
9770	Balaenoptera physalus	species
125796	Benthosema glaciale	species
65597	Bombus humilis	species
44932	Boreogadus saida	species
371907	Bubo scandiacus	species
6837	Calanus finmarchicus	species
311540	Caligus curtus	species
257370	Caligus elongatus	species
13385	Calluna vulgaris	species
6759	Carcinus maenas	species
109591	Cardamine bellidifolia	species
48032	Carum carvi	species
37303	Chara hispida	species
41210	Chionoecetes opilio	species
37601	Chloris chloris	species
412156	Chrysochromulina leadbeateri	species
260543	Chrysopa perla	species
127875	Cinclus cinclus	species
37609	Coccothraustes coccothraustes	species
669661	Cochlearia groenlandica	species
1187000	Colura calyptrifolia	species
13447	Conium maculatum	species
858854	Cortinarius alpinus	species
75324	Cortinarius caperatus	species
1589806	Phlegmacium inexspectatum	species
2558181	Calonarius mariekristinae	species
418151	Calonarius osloensis	species
304739	Phlegmacium tiliae	species
57200	Craterellus tubaeformis	species
155726	Cunninghamella blakesleeana	species
76405	Cunninghamella echinulata	species
889777	Cuphophyllus canescens	species
27804	Cyanea capillata	species
132682	Daphnia cristata	species
984904	Diamesa bohemani	species
984905	Diamesa hyperborea	species
2578515	Diamesa serratosioi	species
1751538	Diamesa tonsa	species
2681902	Discus ruderatus	species
192631	Elaphostrongylus rangiferi	species
603589	Ephemerella aurivillii	species
201501	Epirrita autumnata	species
1400299	Erioderma pedicellatum	species
648166	Etmopterus spinax	species
430040	Eumicrotremus spinosus	species
478208	Flustra foliacea	species
40483	Fomitopsis pinicola	species
67435	Fontinalis antipyretica	species
37598	Fringilla coelebs	species
87148	Fucus serratus	species
8049	Gadus morhua	species
52639	Gammarus lacustris	species
49954	Gentiana purpurea	species
519541	Geodia barretti	species
314568	Geranium bohemicum	species
1553340	Gyrophaena boleti	species
2055192	Helvella alpina	species
78322	Helvella corium	species
44625	Helvella lacunosa	species
2055215	Helvella nannfeldtii	species
2055219	Helvella philonotis	species
1230159	Hemerobius perelegans	species
397554	Heteromastus filiformis	species
232323	Hypsibius dujardini	species
167356	Inonotus obliquus	species
56723	Labrus bergylta	species
2044469	Labyrinthulochytrium arktikum	species
7748	Lampetra fluviatilis	species
7750	Lampetra planeri	species
1471635	Chloris chloris chloris	subspecies
311539	Lepeophtheirus pectoralis	species
77708	Lepidurus arcticus	species
478074	Lewinskya rupestris	species
42458	Lichtheimia corymbifera	species
64522	Linnemannia gamsii	species
64524	Linnemannia hyalina	species
174260	Desmophyllum pertusum	species
8074	Lophius piscatorius	species
52792	Luscinia svecica	species
13125	Lynx lynx	species
30960	Mallotus villosus	species
3752	Malus sylvestris	species
84115	Meara stichopi	species
48144	Meganyctiphanes norvegica	species
860324	Melica nutans	species
90606	Micranthes nivalis	species
64518	Mortierella alpina	species
589210	Mortierella globalpina	species
979702	Dissophora globulifera	species
91625	Umbelopsis isabellina	species
979764	Mortierella zonata	species
36080	Mucor circinelloides	species
439312	Mucor flavus	species
64491	Mucor fragilis	species
64493	Mucor hiemalis	species
1091291	Mucor lanceolatus	species
97098	Mucor plumbeus	species
4841	Mucor racemosus	species
279485	Myrmeleon formicarius	species
261864	Mysis relicta	species
29687	Nardus stricta	species
114204	Narthecium ossifragum	species
2528854	Nectonema munidae	species
437603	Paramoeba perurans	species
1181720	Nitzschia frigida	species
37176	Ovibos moschatus	species
20804	Oxytropis deflexa	species
6703	Pandalus borealis	species
156354	Panurgus calcaratus	species
1707561	Parastichopus tremulus	species
78461	Asplenium wilfordii	species
78464	Asplenium trichomanes	species
185665	Phaeoceros carolinianus	species
9720	Phoca vitulina	species
9182	Phylloscopus trochilus	species
34924	Pica pica	species
221202	Pilosella lactucella	species
67002	Plenogemma phyllantha	species
64523	Podila humilis	species
1891520	Potentilla arenosa subsp. chamissonis	subspecies
97307	Prunus padus	species
72548	Prymnesium polylepis	species
2824852	Pseudopolydora nordica	species
997042	Pseudopolydora paucibranchiata	species
6271	Pseudoterranova decipiens	species
37607	Pyrrhula pyrrhula	species
156871	Rana arvalis	species
228257	Rangifer tarandus platyrhyncus	subspecies
86329	Rangifer tarandus tarandus	subspecies
64495	Rhizopus arrhizus	species
58291	Rhizopus microsporus	species
4846	Rhizopus stolonifer	species
57936	Rubus chamaemorus	species
8030	Salmo salar	species
406025	Saxifraga adscendens	species
102720	Saxifraga cotyledon	species
669826	Saxifraga hyperborea	species
102733	Saxifraga osloensis	species
406026	Saxifraga tridactylites	species
1133313	Scapania nimbosa	species
215256	Scapania undulata	species
860413	Schistidium maritimum	species
226488	Schistidium papillosum	species
13677	Scomber scombrus	species
394699	Sebastes norvegicus	species
57947	Sibbaldia procumbens	species
50251	Sitta europaea	species
41457	Skeletonema pseudocostatum	species
76058	Somateria mollissima	species
231083	Sphagnum annulatum	species
231084	Sphagnum arcticum	species
128182	Sphagnum austinii	species
128184	Sphagnum balticum	species
2202591	Sphagnum beothuk	species
128190	Sphagnum compactum	species
128203	Sphagnum fuscum	species
128204	Sphagnum girgensohnii	species
231099	Sphagnum inundatum	species
128206	Sphagnum jensenii	species
231112	Sphagnum lindbergii	species
13805	Sphagnum palustre	species
231123	Sphagnum papillosum	species
128240	Sphagnum squarrosum	species
128247	Sphagnum tenellum	species
128251	Sphagnum troendelagicum	species
160760	Spinus spinus	species
230758	Strobilurus esculentus	species
41251	Strobilurus tenacellus	species
7671	Strongylocentrotus droebachiensis	species
2594091	Stygocapitella zecai	species
2697470	Synoicum turgens	species
549142	Trachusa byssina	species
2665213	Triangulus munidae	species
2170715	Trichaptum griseofuscum	species
50383	Trichaptum laricinum	species
8323	Triturus cristatus	species
357736	Turdus pilaris	species
1835021	Ulota intermedia	species
41833	Umbelopsis ramanniana	species
44442	Umbelopsis vinacea	species
29073	Ursus maritimus	species
145157	Vallonia costata	species
229284	Vallonia pulchella	species
1128348	Vertigo alpestris	species
2021743	Vertigo arctica	species
669863	Viola epipsila	species
502521	Viola rupestris	species
879067	Xestobium rufovillosum	species
1081673	Antho dichotoma	species
3021724	Diamesa lindrothi	species
#xgEntOest	Enteroxenos oestergreni	species
3942	Oenothera biennis	species
2817510	Tolypella normaniana	species
