Orders	Scientific name	Status	other_priority
Macroscelidea	Rhynchocyon cirnei		AFRICABP
Afrosoricida (Golden moles)	Amblysomus hottentotus		AFRICABP
Rodentia (Anomaluridae)	Anomalurus beecrofti		AFRICABP
Rodentia (Pedetidae)	Pedetes capensis	in_progress	AFRICABP
Leptosomiiformes	Leptosomus discolor		AFRICABP
Mesitornithiformes	Mesitornis unicolor		AFRICABP
Trionychidae	Trionyx triunguis		AFRICABP
Iguania (Chamaeleoninae)	Furcifer oustaleti		AFRICABP
Pelomedusidae	Pelusios castaneus		AFRICABP
Ophidiiformes	Ophidion barbatum		AFRICABP
Coelacanthiformes	Latimeria chalumnae		AFRICABP
Pelecaniformes (Ardeidae)	Ardea goliath		AFRICABP
Pelecaniformes (Phalacrocoracidae)	Microcarbo africanus		AFRICABP
Struthioniformes	Struthio camelus		AFRICABP
Coliiformes	Colius striatus	in_progress	AFRICABP
